,POS_ms,left_syll,syll_onset,syll_type,right_onset,left_neigh,ict,word
210,ADVPRO,open,closed,open,open,True,False,51
211,ADVPRO,open,closed,open,open,True,True,371
212,APRO,closed,closed,closed,closed,False,False,18649
213,APRO,closed,closed,closed,closed,False,True,14501
214,APRO,closed,closed,closed,closed,True,False,9572
215,APRO,closed,closed,closed,closed,True,True,5229
216,APRO,closed,closed,closed,nan,False,False,150
217,APRO,closed,closed,closed,nan,False,True,2317
218,APRO,closed,closed,closed,nan,True,False,124
219,APRO,closed,closed,closed,nan,True,True,497
220,APRO,closed,closed,closed,open,False,False,1572
221,APRO,closed,closed,closed,open,False,True,2644
222,APRO,closed,closed,closed,open,True,False,1346
223,APRO,closed,closed,closed,open,True,True,1007
224,APRO,closed,closed,open,closed,False,False,4146
225,APRO,closed,closed,open,closed,False,True,3461
226,APRO,closed,closed,open,closed,True,False,2009
227,APRO,closed,closed,open,closed,True,True,1957
228,APRO,closed,closed,open,nan,False,False,18
229,APRO,closed,closed,open,nan,False,True,170
230,APRO,closed,closed,open,nan,True,False,14
231,APRO,closed,closed,open,nan,True,True,80
232,APRO,closed,closed,open,open,False,False,411
233,APRO,closed,closed,open,open,False,True,619
234,APRO,closed,closed,open,open,True,False,231
235,APRO,closed,closed,open,open,True,True,376
236,APRO,closed,open,closed,closed,False,False,2541
237,APRO,closed,open,closed,closed,False,True,1818
238,APRO,closed,open,closed,closed,True,False,1048
239,APRO,closed,open,closed,closed,True,True,644
240,APRO,closed,open,closed,nan,False,False,12
241,APRO,closed,open,closed,nan,False,True,31
242,APRO,closed,open,closed,nan,True,False,10
243,APRO,closed,open,closed,nan,True,True,7
244,APRO,closed,open,closed,open,False,False,210
245,APRO,closed,open,closed,open,False,True,314
246,APRO,closed,open,closed,open,True,False,119
247,APRO,closed,open,closed,open,True,True,132
248,APRO,nan,closed,closed,closed,False,False,15844
249,APRO,nan,closed,closed,closed,False,True,4057
250,APRO,nan,closed,closed,nan,False,False,1
251,APRO,nan,closed,closed,nan,False,True,27
252,APRO,nan,closed,closed,open,False,False,1805
253,APRO,nan,closed,closed,open,False,True,797
254,APRO,nan,closed,open,closed,False,False,8159
255,APRO,nan,closed,open,closed,False,True,3161
256,APRO,nan,closed,open,nan,False,True,1
257,APRO,nan,closed,open,open,False,False,1191
258,APRO,nan,closed,open,open,False,True,657
259,APRO,nan,open,closed,closed,False,False,1938
260,APRO,nan,open,closed,closed,False,True,319
261,APRO,nan,open,closed,open,False,False,195
262,APRO,nan,open,closed,open,False,True,45
263,APRO,open,closed,closed,closed,False,False,5157
264,APRO,open,closed,closed,closed,False,True,5283
265,APRO,open,closed,closed,closed,True,False,4536
266,APRO,open,closed,closed,closed,True,True,14259
267,APRO,open,closed,closed,nan,False,False,35
268,APRO,open,closed,closed,nan,False,True,774
269,APRO,open,closed,closed,nan,True,False,15
270,APRO,open,closed,closed,nan,True,True,671
271,APRO,open,closed,closed,open,False,False,438
272,APRO,open,closed,closed,open,False,True,1001
273,APRO,open,closed,closed,open,True,False,339
274,APRO,open,closed,closed,open,True,True,2860
275,APRO,open,closed,open,closed,False,False,2013
276,APRO,open,closed,open,closed,False,True,2574
277,APRO,open,closed,open,closed,True,False,1656
278,APRO,open,closed,open,closed,True,True,7095
279,APRO,open,closed,open,nan,False,False,28
280,APRO,open,closed,open,nan,False,True,174
281,APRO,open,closed,open,nan,True,False,3
282,APRO,open,closed,open,nan,True,True,272
283,APRO,open,closed,open,open,False,False,228
284,APRO,open,closed,open,open,False,True,526
285,APRO,open,closed,open,open,True,False,178
286,APRO,open,closed,open,open,True,True,1306
287,APRO,open,open,closed,closed,False,False,1007
288,APRO,open,open,closed,closed,False,True,899
289,APRO,open,open,closed,closed,True,False,225
290,APRO,open,open,closed,closed,True,True,820
291,APRO,open,open,closed,nan,False,False,7
292,APRO,open,open,closed,nan,False,True,54
293,APRO,open,open,closed,nan,True,False,1
294,APRO,open,open,closed,nan,True,True,3
295,APRO,open,open,closed,open,False,False,94
296,APRO,open,open,closed,open,False,True,175
297,APRO,open,open,closed,open,True,False,20
298,APRO,open,open,closed,open,True,True,143
299,COM,closed,closed,closed,closed,False,False,3
300,COM,closed,closed,closed,closed,False,True,1
301,COM,closed,closed,closed,closed,True,True,1
302,COM,closed,closed,closed,open,False,False,1
